hhid,hhea,c,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,close,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmt,getbenefit,logc,unob_c,distt_q,pmt_q,c_q,unob_c_q,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
523020,523,81024.41,1744.62,927.1158,2237.431,2863.335,9722.222,0,0.0,0,3.0,175.9551,12,953.2283,8.711562,-0.7913247,-0.1123411,40.21196,-3.331221,-0.5616105,8.021887,-0.7278951,1346.75,454.2715,1839.562,2465.465,12.10476,0.0,11.302505746280058,-1.2926282593210185,4,1,1,1,0.7465397422896912,0.767615925765738,0.7636116271890587,0.7491732738870038,0.19930151043331623,0.7449475119520257,0.7429201064982804,0.7450345385828435,0.7427707299667082,0.9286031233175532,0.5680101721829477
457035,457,83626.99,144.0462,237.6311,711.703,623.9057,8333.333,1,1.0,1,0.5,125.7222,6,355.8595,8.711562,-0.7913247,-0.5047958,40.21196,-3.331221,-0.6510682,8.021887,-0.7278951,0.0,96.39297,513.9061,303.7382,12.13806,0.0,11.334121593858901,-1.2858613323327077,3,1,1,1,0.6637753383708445,0.6934860641646394,0.6984596991328758,0.663391977424452,0.18332580906963633,0.6637753383708445,0.6637753383708445,0.6637753383708445,0.6637753383708445,0.8695675688689514,0.46197749063938676
490017,490,101212.5,3078.551,3903.695,4222.521,5111.481,29166.67,1,0.0,1,4.0,175.3095,4,963.9286,8.711562,-0.7913247,-0.5047958,40.21196,-3.331221,-0.6510682,8.021887,-0.7278951,1616.1,2486.225,2670.718,3524.356,12.289,0.0,11.52497754599437,-1.2076388959310282,4,1,1,1,0.7806953276779343,0.767682424987824,0.7637657780134267,0.7793165395019669,0.6766451354207511,0.7787873150505549,0.7773219896319316,0.7783501685626951,0.7749032707342202,0.9997553254583077,0.5658872371628563
307043,307,111966.7,1918.276,1918.276,3239.816,4224.863,10000.0,1,1.0,0,0.0,171.7391,5,2073.457,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,873.9733,2067.368,12.18308,0.0,11.62595678463988,-1.0276206882480015,1,1,1,1,0.7406399999818558,0.7835629115078225,0.8077354495272651,0.7406399999818558,0.20364313569845827,0.7406399999818558,0.7406399999818558,0.7406399999818558,0.7406399999818558,0.8533630160775627,0.630104913293433
409012,409,117688.4,1187.242,2474.791,2665.677,4543.388,29166.67,1,0.0,0,3.0,175.9551,4,747.2279,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,1362.814,1478.434,3356.146,12.31031,0.0,11.675795732741483,-1.0727225259341928,4,1,1,1,0.7616507981293067,0.7456576822177489,0.7312386488206039,0.7593880842848689,0.6900205521111846,0.7590556839221644,0.7558272854412673,0.7597230322113632,0.7568799075115324,0.9994479420487651,0.5284692454366474
108039,108,119973.8,1110.926,1237.784,2211.616,3298.812,23333.33,1,0.0,0,0.2,175.9551,5,1052.402,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,170.0078,884.6207,2088.663,12.30023,0.0,11.695028664592657,-1.0459677586610212,2,1,1,1,0.8692102115722986,0.8675462956143611,0.8692173069524877,0.8690164020888574,0.5376979251541855,0.8675322959605279,0.8658830057371539,0.8673288712898145,0.8645260626488845,0.9970667272865462,0.743835363225846
3012,3,130934.5,776.5078,776.5078,2063.523,3484.305,20833.33,1,1.0,0,0.0,171.7391,4,671.4591,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,1132.394,2664.066,12.54511,0.0,11.782452477141605,-1.1412767891814362,1,1,1,1,0.7083962833334733,0.6904558822594501,0.683494189399071,0.7083962833334733,0.4706288828961485,0.7083962833334733,0.7083962833334733,0.7083962833334733,0.7083962833334733,0.9905610000243177,0.4317083228786563
111094,111,143231.0,759.2086,759.2086,1473.007,2124.859,23333.33,1,1.0,0,0.0,171.7391,5,1326.213,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,553.9683,1305.586,12.21089,0.0,11.872213990527099,-0.8021156890161194,1,1,1,1,0.9099016649877633,0.9139961690178935,0.9161221616768469,0.9099016649877633,0.5404548001599687,0.9099016649877633,0.9099016649877633,0.9099016649877633,0.9099016649877633,0.9921341562083408,0.8292652886690717
492073,492,144936.5,1759.653,1134.127,2294.406,2727.103,13888.89,0,0.0,1,2.0,175.3095,6,828.2086,8.711562,-0.7913247,-0.5047958,40.21196,-3.331221,-0.6510682,8.021887,-0.7278951,1333.333,660.6739,1823.651,2231.062,12.30519,0.0,11.884050994448428,-0.8606466494097251,4,1,1,1,0.6454337567479156,0.6556977646375285,0.6516360964983319,0.6475713247128674,0.2837884749181085,0.6436046564687669,0.642123433092335,0.6426740958367446,0.6385274312696362,0.9020203764063897,0.39382742798398107
236014,236,145121.0,972.8984,972.8984,1921.556,2803.735,19444.44,0,1.0,0,0.0,171.7391,6,1261.922,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,754.9296,1776.044,12.2945,0.0,11.885323156174174,-0.8513974618247353,1,1,1,1,0.8201370304021361,0.8236304803742619,0.826725593557806,0.8201370304021361,0.4307106499088815,0.8201370304021361,0.8201370304021361,0.8201370304021361,0.8201370304021361,0.9773498605420099,0.6659756673554901
