hhid,hhea,c,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,close,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmt,getbenefit,logc,unob_c,distt_q,pmt_q,c_q,unob_c_q,col2,col3,col4,col5,col6
428059,428,489260.3,1624.113,2187.531,2180.946,2565.413,9259.26,0,0.0,0,2.0,175.9551,9,2769.398,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,435.4823,364.4261,734.918,12.40523,0.0,13.100649937668297,0.281301062102127,4,1,3,3,0.20544122628889594,0.06315584985411463,0.001032816738453272,0.19020948784271208,0.19198453922533026
474009,474,489974.6,2360.959,2360.959,3052.592,3456.067,21428.57,0,1.0,0,0.0,171.7391,7,3572.731,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,0.0,471.1475,950.0937,12.44184,0.0,13.102108832008545,0.2554410680694197,1,1,3,3,0.3843881377341614,0.42060248141041007,0.37319437176034986,0.45459249145817665,0.474747342533583
406004,406,490567.3,4758.153,4207.041,5660.947,6205.483,37500.0,0,0.0,0,2.0,175.9551,4,4088.06,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,1250.0,606.2961,1757.369,2273.183,13.17901,0.0,13.103317755507247,-0.2934364586337903,4,3,3,1,0.4031598684063226,0.803409974626445,0.853290747186747,0.7420181457434047,0.8342303022267699
447032,447,490616.4,14131.67,14551.87,17148.02,18451.24,29166.67,0,0.0,1,2.0,175.3095,4,9345.074,8.711562,-0.7913247,-0.5047958,40.21196,-3.331221,-0.6510682,8.021887,-0.7278951,1212.075,1601.573,3036.442,3808.904,13.06121,0.0,13.103417838702761,-0.20543238608197534,4,3,3,1,0.29950661765181835,0.55091360919395,0.5641812978857093,0.5408215877157938,0.5960323095235059
248014,248,490644.8,2471.033,2324.989,3126.012,3560.923,19444.44,0,0.0,0,1.0,175.9551,6,3774.191,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,416.6667,233.4502,753.0359,1095.035,12.52642,0.0,13.103475723392398,0.19369319358098025,3,1,3,3,0.3949876958859007,0.34694857224040604,0.25890031448657763,0.40767004790676536,0.4190571987541516
286008,286,490885.7,8259.482,8146.531,9866.472,10757.24,29166.67,0,0.0,0,2.0,175.9551,4,5034.725,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,1616.1,979.8352,2436.059,3269.666,12.58924,0.0,13.103966589452774,0.14730690674353752,4,2,3,2,0.4736870707196633,0.6026407871583076,0.6267417039764112,0.5805385673230463,0.63974757929155
403077,403,491519.8,3206.31,3030.775,4395.387,5013.901,8333.333,0,0.0,1,1.0,175.3095,6,4681.141,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,666.6667,453.16,1563.889,2027.184,12.96773,0.0,13.105257502600265,-0.1338366532114037,3,3,3,2,0.16605356721124329,0.04649910948295824,0.00022280565758544496,0.1703000898071102,0.169248596234533
68039,68,491875.0,2470.005,2470.005,3491.961,4212.734,29166.67,1,1.0,0,0.0,171.7391,4,3451.754,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,502.302,1013.049,13.0129,0.0,13.105979898153805,-0.16682073642886763,1,3,3,2,0.36562070775942673,0.6563515764296624,0.6861229406339241,0.616247571306156,0.6812871519653168
542034,542,492223.2,4237.565,5168.858,5354.305,5988.901,20833.33,1,0.0,0,1.5,175.9551,4,5469.147,8.711562,-0.7913247,-0.1123411,40.21196,-3.331221,-0.5616105,8.021887,-0.7278951,0.0,480.6286,505.9614,1020.368,13.03447,0.0,13.106687551139109,-0.18220891579004572,4,3,3,2,0.2507508225863731,0.3771079169299248,0.31381313510283676,0.4194689864974784,0.4435649199268059
483110,483,492373.8,958.7284,958.7284,1532.026,1991.898,10000.0,0,1.0,0,0.0,171.7391,5,1674.741,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,0.0,403.6432,814.0422,13.00948,0.0,13.106993463103443,-0.1632551201753376,1,3,3,2,0.14434265932545176,0.07608731729330519,0.0029640053572251887,0.20782869175016727,0.2085850486382995
