hhid,hhea,consumption,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,closesubtreatment,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmtscore,getbenefit
450027,450,523244.8,3786.663,3891.529,5371.024,6165.385,16666.67,0,1,1,.5,125.7222,5,7927.951,8.711562,-.7913247,-.5047958,40.21196,-3.331221,-.6510682,8.021887,-.7278951,200,115.6716,1336.832,1963.824,12.84925,0
70022,070,523580.9,4486.903,4425.172,5521.971,6116.502,16666.67,0,0,0,1,175.9551,5,6233.106,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,280.1402,403.6432,814.0422,12.89269,0
321024,321,524104.8,6224.999,5187.514,8181.705,9002.671,23333.33,1,1,1,1.5,125.7222,5,5459.424,8.711562,-.7913247,.4344385,40.21196,-3.331221,.9527218,8.021887,-.7278951,1939.32,769.2178,3501.904,4240.533,13.51671,0
483069,483,524317.3,1852.794,1852.794,2685.214,3293.823,37500,0,1,0,0,171.7391,4,2589.221,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,0,504.554,1017.553,12.7192,0
157052,157,524900.8,8947.393,9368.877,10775.77,10910.31,27777.78,0,0,1,4,175.3095,3,3087.652,8.711562,-.7913247,.1845431,40.21196,-3.331221,.6020159,8.021887,-.7278951,2424.15,3314.966,3921.613,4016.535,13.58151,0
538030,538,525569.4,8774.732,9128.883,10987.3,12193.11,19444.44,1,0,0,.3,175.9551,6,10511.39,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,0,171.8457,541.4835,1092.065,12.48645,0
486036,486,525762.7,13511.5,13511.5,16989.67,18792.32,16666.67,0,1,0,0,171.7391,3,8762.712,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,0,1087.213,2192.623,12.48871,0
463005,463,525849.7,3003.052,3003.052,4228.941,5092.033,20833.33,0,1,0,0,171.7391,4,2596.789,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,0,819.9589,1653.565,12.64778,0
37018,037,525973.3,3642.208,3930.615,4970.172,5948.697,12500,0,0,0,1,175.9551,4,2504.635,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,565.9183,815.4097,1644.467,12.71333,0
543017,543,526742.9,2090.372,2107.085,3577.781,4392.068,23333.33,0,1,1,.1,125.7222,5,4620.551,8.711562,-.7913247,.5789615,40.21196,-3.331221,.3615767,8.021887,-.7278951,0,-44.2134,1204.811,1899.781,13.048,0
562007,562,527156.8,6299.51,8313.707,7161.374,6875.62,27777.78,0,0,1,5,175.3095,3,4792.334,8.711562,-.7913247,.5789615,40.21196,-3.331221,.3615767,8.021887,-.7278951,833.3333,2366.052,1470.639,1240.09,13.00478,0
