hhid,hhea,consumption,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,closesubtreatment,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmtscore,getbenefit
14009,014,369553.6,2919.073,2919.073,4124.12,4458.504,18333.33,0,1,0,0,175.9551,10,6159.226,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,670.2501,902.7791,12.59337,0
14009,014,369553.6,3914.465,3575.637,5119.512,5453.896,18333.33,0,0,0,1,175.9551,10,6159.226,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,252.0854,670.2501,902.7791,12.59337,0
14015,014,924428.6,4172.563,4172.563,5666.599,5325.028,23333.33,0,1,0,0,175.9551,5,4402.041,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,882.0861,533.2257,12.74619,0
14015,014,924428.6,4883.976,5254.901,6378.013,6036.441,23333.33,0,0,0,1,175.9551,5,4402.041,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,504.1708,882.0861,533.2257,12.74619,0
14016,014,876150,8838.614,8449.817,10323,9621.312,10000,0,0,0,1.5,175.9551,5,6953.571,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,709.2343,676.9283,122.9102,12.74551,0
14016,014,876150,6591.081,6591.081,8075.472,7373.778,10000,0,1,0,0,175.9551,5,6953.571,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,676.9283,122.9102,12.74551,0
14025,014,583690.5,6147.363,6147.363,7286.44,7085.063,36666.66,1,1,0,0,175.9551,5,6485.45,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,684.9386,737.9335,12.4986,0
14025,014,583690.5,7894.219,7928.714,9033.297,8831.919,36666.66,1,0,0,1.5,175.9551,5,6485.45,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,709.2343,684.9386,737.9335,12.4986,0
14030,014,189354.8,1388.089,1514.608,2382.194,3114.299,18333.33,1,0,0,.5,175.9551,10,2629.927,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,144.1971,742.3969,1350.524,12.34754,1
14030,014,189354.8,1246.414,1246.414,2240.52,2972.625,18333.33,1,1,0,0,175.9551,10,2629.927,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,742.3969,1350.524,12.34754,1
14035,014,353559.5,3472.301,3900.825,5641.867,6448.692,36666.66,1,0,0,.5,175.9551,5,3466.27,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,288.3942,1486.407,2097.372,12.55514,0
14035,014,353559.5,3285.573,3285.573,5455.139,6261.964,36666.66,1,1,0,0,175.9551,5,3466.27,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1486.407,2097.372,12.55514,0
14038,014,701541.3,6519.313,6519.313,8443.263,8562.595,27777.78,0,1,0,0,175.9551,3,4126.713,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1317.104,1580.969,12.9501,0
14038,014,701541.3,10122.02,8262.941,12045.97,12165.3,27777.78,0,0,0,1,175.9551,3,4126.713,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,3232.2,840.2847,4549.304,4813.169,12.9501,0
14050,014,1169639,16749.81,13178.14,20534.54,20594.13,16666.67,1,0,0,.5,175.9551,3,7310.243,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,3232.2,480.657,5044.273,4804.769,12.74946,0
14050,014,1169639,11548.6,11548.6,15333.32,15392.92,16666.67,1,1,0,0,175.9551,3,7310.243,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1812.073,1572.569,12.74946,0
14059,014,1129444,23376.16,22585.19,27827.52,27867.24,20833.33,0,0,0,.7,175.9551,4,16732.5,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,2424.15,469.988,3680.626,3398.419,12.70588,0
14059,014,1129444,19825.29,19825.29,24276.65,24316.37,20833.33,0,1,0,0,175.9551,4,16732.5,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1256.476,974.2688,12.70588,0
25002,025,573911.9,6502.102,5419.821,7694.248,7756.85,10000,0,0,0,1,175.9551,5,4554.856,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,1939.32,504.1708,2729.583,2887.901,13.11331,0
25002,025,573911.9,4317.412,4317.412,5509.558,5572.159,10000,0,1,0,0,175.9551,5,4554.856,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,790.2626,948.5815,13.11331,0
25028,025,231964.3,1665.697,1665.697,3413.665,4722.397,23333.33,0,1,0,0,175.9551,5,1757.305,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1440.037,2611.536,12.53792,0
25028,025,231964.3,4992.563,2400.674,6740.531,8049.263,23333.33,0,0,0,1,175.9551,5,1757.305,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,3232.2,504.1708,4672.237,5843.736,12.53792,0
25032,025,394768.5,2309.81,2309.81,3477.708,3816.669,12962.96,1,1,0,0,175.9551,9,4386.317,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,744.7224,1003.088,12.8045,0
25032,025,394768.5,3649.756,2909.962,4817.653,5156.615,12962.96,1,0,0,1,175.9551,9,4386.317,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,1077.4,280.0949,1822.122,2080.488,12.8045,0
25043,025,646706.4,3405.52,3405.52,4381.073,4437.504,19444.44,0,1,0,0,175.9551,6,4311.376,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,658.5521,790.4846,12.58183,0
25043,025,646706.4,5215.165,4297.545,6190.718,6247.149,19444.44,0,0,0,1,175.9551,6,4311.376,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,1616.1,420.1424,2274.652,2406.584,12.58183,0
25046,025,431390.5,5369.011,4199.102,6721.739,7550.557,16666.67,1,0,0,1,175.9551,5,3423.734,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,1939.32,504.1708,2595.213,3278.943,12.49776,0
25046,025,431390.5,3245.255,3245.255,4597.982,5426.799,16666.67,1,1,0,0,175.9551,5,3423.734,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,655.8927,1339.623,12.49776,0
25050,025,362295.7,4866.241,3782.017,6233.939,6372.496,23333.33,1,0,0,2,175.9551,5,2515.942,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,1939.32,903.5848,2988.006,3161.25,12.33921,1
25050,025,362295.7,2384.786,2384.786,3752.484,3891.041,23333.33,1,1,0,0,175.9551,5,2515.942,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1048.686,1221.93,12.33921,1
25051,025,505809.5,6196.492,5725.961,7493.136,8138.343,23333.33,1,0,0,2,175.9551,5,4215.079,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,1292.88,903.5848,1958.052,2651.061,12.14256,1
25051,025,505809.5,3995.347,3995.347,5291.991,5937.197,23333.33,1,1,0,0,175.9551,5,4215.079,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,665.1718,1358.181,12.14256,1
25057,025,422414.7,2566.629,2566.629,4153.939,4631.045,19444.44,1,1,0,0,175.9551,6,3249.344,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1117.084,1504.632,12.37723,0
25057,025,422414.7,4328.598,3342.415,5915.908,6393.014,19444.44,1,0,0,1,175.9551,6,3249.344,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,1616.1,420.1424,2733.184,3120.732,12.37723,0
25058,025,375631,3774.126,3431.221,5225.801,5652.104,16666.67,1,0,0,1,175.9551,7,3983.965,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,923.4857,360.122,1880.986,2213.17,12.52765,0
25058,025,375631,2697.343,2697.343,4149.018,4575.32,16666.67,1,1,0,0,175.9551,7,3983.965,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,957.5003,1289.684,12.52765,0
25060,025,556166.7,9857.377,9080.946,11957.91,13037.84,16666.67,1,0,0,2,175.9551,3,3972.619,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,2154.8,1505.974,3263.42,4418.435,12.94587,0
25060,025,556166.7,6275.877,6275.877,8376.411,9456.339,16666.67,1,1,0,0,175.9551,3,3972.619,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1108.62,2263.634,12.94587,0
